Deklination,Kasus,Genus,Numerus,Endung
a,Nom.,f,Sg,a
a,Gen.,f,Sg,ae
a,Dat.,f,Sg,ae
a,Akk.,f,Sg,am
a,Abl.,f,Sg,ā
a,Vok.,f,Sg,a
a,Nom.,f,Pl,ae
a,Gen.,f,Pl,ārum
a,Dat.,f,Pl,īs
a,Akk.,f,Pl,ās
a,Abl.,f,Pl,īs
a,Vok.,f,Pl,ae
o,Nom.,m,Sg,us
o,Gen.,m,Sg,ī
o,Dat.,m,Sg,ō
o,Akk.,m,Sg,um
o,Abl.,m,Sg,ō
o,Vok.,m,Sg,e
o,Nom.,m,Pl,ī
o,Gen.,m,Pl,ōrum
o,Dat.,m,Pl,īs
o,Akk.,m,Pl,ōs
o,Abl.,m,Pl,īs
o,Vok.,m,Pl,ī
o,Nom.,n,Sg,um
o,Gen.,n,Sg,ī
o,Dat.,n,Sg,ō
o,Akk.,n,Sg,um
o,Abl.,n,Sg,ō
o,Vok.,n,Sg,um
o,Nom.,n,Pl,a
o,Gen.,n,Pl,ōrum
o,Dat.,n,Pl,īs
o,Akk.,n,Pl,a
o,Abl.,n,Pl,īs
o,Vok.,n,Pl,a
3,Nom.,m,Sg,—
3,Gen.,m,Sg,is
3,Dat.,m,Sg,ī
3,Akk.,m,Sg,em
3,Abl.,m,Sg,e
3,Vok.,m,Sg,—
3,Nom.,m,Pl,ēs
3,Gen.,m,Pl,um
3,Dat.,m,Pl,ibus
3,Akk.,m,Pl,ēs
3,Abl.,m,Pl,ibus
3,Vok.,m,Pl,ēs
3,Nom.,n,Sg,—
3,Gen.,n,Sg,is
3,Dat.,n,Sg,ī
3,Akk.,n,Sg,—
3,Abl.,n,Sg,e
3,Vok.,n,Sg,—
3,Nom.,n,Pl,a
3,Gen.,n,Pl,um
3,Dat.,n,Pl,ibus
3,Akk.,n,Pl,a
3,Abl.,n,Pl,ibus
3,Vok.,n,Pl,a
u,Nom.,m,Sg,us
u,Gen.,m,Sg,ūs
u,Dat.,m,Sg,uī
u,Akk.,m,Sg,um
u,Abl.,m,Sg,ū
u,Nom.,m,Pl,ūs
u,Gen.,m,Pl,uum
u,Dat.,m,Pl,ibus
u,Akk.,m,Pl,ūs
u,Abl.,m,Pl,ibus
u,Nom.,n,Sg,u
u,Gen.,n,Sg,ūs
u,Dat.,n,Sg,uī
u,Akk.,n,Sg,u
u,Abl.,n,Sg,ū
u,Nom.,n,Pl,ua
u,Gen.,n,Pl,uum
u,Dat.,n,Pl,ibus
u,Akk.,n,Pl,ua
u,Abl.,n,Pl,ibus
u,Vok.,m,Sg,us
u,Vok.,m,Pl,ūs
u,Vok.,n,Sg,ū
u,Vok.,n,Pl,ua