Deklination,Genus,Stamm,Nom. Sg,ist_i_stamm
a,f,famili,familia,False
o,m,amic,amicus,False
o,n,vin,vinum,False
3,m,homin,homo,False
3,n,nomin,nomen,False
a,f,cen,cena,False
o,m,domin,dominus,False
a,f,vit,vita,False
o,m,puer,puer,False
a,f,puell,puella,False
o,m,vir,vir,False
a,f,femin,femina,False
a,f,aqu,aqua,False
o,m,fili,filius,False
a,f,fili,filia,False
a,f,to,toga,False
o,n,silenti,silentium,False
o,m,ocul,oculus,False
a,f,pugn,pugna,False
3,m,sen,senex,False
3,f,caed,caedes,True
3,f,art,ars,True
u,m,usu,usus,False